from,to,season,weight
Sergi Roberto,Xavi,2013/2014,4
Sergi Roberto,Xavi,2014/2015,64
Song,Abidal,2012/2013,4
Song,Adriano,2012/2013,65
Song,Adriano,2013/2014,41
Song,Alba,2012/2013,52
Song,Alba,2013/2014,12
Song,Alexis,2012/2013,31
Song,Alexis,2013/2014,9
Song,Bartra,2012/2013,8
Song,Bartra,2013/2014,34
Song,Busquets,2012/2013,45
Song,Busquets,2013/2014,24
Song,Dani Alves,2012/2013,106
Song,Dani Alves,2013/2014,41
Song,Fabregas,2012/2013,95
Song,Fabregas,2013/2014,58
Song,Iniesta,2012/2013,88
Song,Iniesta,2013/2014,87
Song,Jonathan dos Santos,2012/2013,1
Song,Mascherano,2012/2013,68
Song,Mascherano,2013/2014,28
Song,Messi,2012/2013,60
Song,Messi,2013/2014,59
Song,Montoya,2012/2013,32
Song,Montoya,2013/2014,21
Song,Neymar,2013/2014,13
Song,Pedro,2012/2013,23
Song,Pedro,2013/2014,26
Song,Pinto,2012/2013,3
Song,Pinto,2013/2014,5
Song,Pique,2012/2013,63
Song,Pique,2013/2014,16
Song,Puyol,2012/2013,23
Song,Puyol,2013/2014,6
Song,Sergi Roberto,2013/2014,5
Song,Tello,2012/2013,7
Song,Tello,2013/2014,1
Song,Thiago,2012/2013,99
Song,Valdes,2012/2013,24
Song,Valdes,2013/2014,10
Song,Villa,2012/2013,6
Song,Xavi,2012/2013,124
Song,Xavi,2013/2014,42
Suarez,Adriano,2014/2015,12
Suarez,Adriano,2015/2016,3
Suarez,Alba,2014/2015,45
Suarez,Alba,2015/2016,47
Suarez,Arda,2015/2016,23
Suarez,Bartra,2015/2016,2
Suarez,Busquets,2014/2015,13
Suarez,Busquets,2015/2016,39
Suarez,Dani Alves,2014/2015,74
Suarez,Dani Alves,2015/2016,58
Suarez,Gumbau,2015/2016,1
Suarez,Iniesta,2014/2015,59
Suarez,Iniesta,2015/2016,80
Suarez,Ivan Rakitić,2014/2015,58
Suarez,Ivan Rakitić,2015/2016,81
Suarez,Mascherano,2014/2015,7
Suarez,Mascherano,2015/2016,13
Suarez,Mathieu,2014/2015,6
Suarez,Mathieu,2015/2016,10
Suarez,Messi,2014/2015,180
Suarez,Messi,2015/2016,261
Suarez,Montoya,2014/2015,19
Suarez,Munir,2014/2015,3
Suarez,Munir,2015/2016,24
Suarez,Neymar,2014/2015,139
Suarez,Neymar,2015/2016,205
Suarez,Pedro,2014/2015,33
Suarez,Pique,2014/2015,6
Suarez,Pique,2015/2016,13
Suarez,Rafinha,2014/2015,21
Suarez,Rafinha,2015/2016,9
Suarez,Sandro,2015/2016,14
Suarez,Sergi Roberto,2014/2015,4
Suarez,Sergi Roberto,2015/2016,45
Suarez,Vidal,2015/2016,18
Suarez,Xavi,2014/2015,63
Sylvinho,Abidal,2007/2008,4
Sylvinho,Abidal,2008/2009,4
Sylvinho,Bojan,2007/2008,30
Sylvinho,Bojan,2008/2009,18
Sylvinho,Busquets,2008/2009,13
Sylvinho,Caceres,2008/2009,21
Sylvinho,Dani Alves,2008/2009,1
Sylvinho,Deco,2004/2005,2
Sylvinho,Deco,2005/2006,68
Sylvinho,Deco,2006/2007,74
Sylvinho,Deco,2007/2008,27
Sylvinho,Edmilson,2005/2006,34
Sylvinho,Edmilson,2006/2007,7
Sylvinho,Edmilson,2007/2008,2
Sylvinho,Ezquerro,2005/2006,10
Sylvinho,Gabri,2005/2006,2
Sylvinho,Giovano,2007/2008,9
Sylvinho,Giuly,2005/2006,3
Sylvinho,Giuly,2006/2007,1
Sylvinho,Gudjohnsen,2006/2007,12
Sylvinho,Gudjohnsen,2007/2008,12
Sylvinho,Gudjohnsen,2008/2009,12
Sylvinho,Henry,2007/2008,41
Sylvinho,Henry,2008/2009,44
Sylvinho,Hleb,2008/2009,6
Sylvinho,Iniesta,2004/2005,3
Sylvinho,Iniesta,2005/2006,63
Sylvinho,Iniesta,2006/2007,61
Sylvinho,Iniesta,2007/2008,84
Sylvinho,Iniesta,2008/2009,90
Sylvinho,Kéita,2008/2009,34
Sylvinho,Larsson,2005/2006,22
Sylvinho,Marquez,2004/2005,1
Sylvinho,Marquez,2005/2006,36
Sylvinho,Marquez,2006/2007,35
Sylvinho,Marquez,2007/2008,10
Sylvinho,Marquez,2008/2009,18
Sylvinho,Messi,2005/2006,19
Sylvinho,Messi,2006/2007,32
Sylvinho,Messi,2007/2008,15
Sylvinho,Messi,2008/2009,13
Sylvinho,Milito,2007/2008,54
Sylvinho,Motta,2005/2006,33
Sylvinho,Motta,2006/2007,10
Sylvinho,Oleguer,2004/2005,3
Sylvinho,Oleguer,2005/2006,29
Sylvinho,Oleguer,2006/2007,1
Sylvinho,Oleguer,2007/2008,1
Sylvinho,Pedro,2008/2009,1
Sylvinho,Pique,2008/2009,38
Sylvinho,Puyol,2004/2005,1
Sylvinho,Puyol,2005/2006,74
Sylvinho,Puyol,2006/2007,47
Sylvinho,Puyol,2007/2008,21
Sylvinho,Puyol,2008/2009,6
Sylvinho,Ronaldinho,2005/2006,193
Sylvinho,Ronaldinho,2006/2007,103
Sylvinho,Ronaldinho,2007/2008,50
Sylvinho,Samuel Eto''o Fils,2004/2005,1
Sylvinho,Samuel Eto''o Fils,2005/2006,44
Sylvinho,Samuel Eto''o Fils,2006/2007,20
Sylvinho,Samuel Eto''o Fils,2007/2008,18
Sylvinho,Samuel Eto''o Fils,2008/2009,29
Sylvinho,Saviola,2006/2007,4
Sylvinho,Thuram,2006/2007,13
Sylvinho,Thuram,2007/2008,5
Sylvinho,Toure,2007/2008,18
Sylvinho,Toure,2008/2009,9
Sylvinho,Valdes,2005/2006,16
Sylvinho,Valdes,2006/2007,10
Sylvinho,Valdes,2007/2008,6
Sylvinho,Valdes,2008/2009,5
Sylvinho,Xavi,2004/2005,3
Sylvinho,Xavi,2005/2006,30
Sylvinho,Xavi,2006/2007,46
Sylvinho,Xavi,2007/2008,37
Sylvinho,Xavi,2008/2009,39
Sylvinho,van Bommel,2005/2006,15
Sylvinho,van Bronckhorst,2004/2005,1
Sylvinho,van Bronckhorst,2005/2006,4
Sylvinho,van Bronckhorst,2006/2007,6
Tello,Abidal,2011/2012,3
Tello,Adriano,2011/2012,21
Tello,Adriano,2012/2013,27
Tello,Adriano,2013/2014,20
Tello,Alba,2012/2013,73
Tello,Alba,2013/2014,9
Tello,Alexis,2011/2012,2
Tello,Alexis,2012/2013,8
Tello,Alexis,2013/2014,4
Tello,Bartra,2013/2014,2
Tello,Busquets,2011/2012,7
Tello,Busquets,2012/2013,29
Tello,Busquets,2013/2014,12
Tello,Cuenca,2011/2012,1
Tello,Dani Alves,2011/2012,6
Tello,Dani Alves,2012/2013,20
Tello,Dani Alves,2013/2014,24
Tello,Fabregas,2011/2012,20
Tello,Fabregas,2012/2013,60
Tello,Fabregas,2013/2014,11
Tello,Iniesta,2011/2012,14
Tello,Iniesta,2012/2013,51
Tello,Iniesta,2013/2014,24
Tello,Jonathan dos Santos,2011/2012,6
Tello,Jonathan dos Santos,2013/2014,1
Tello,Kéita,2011/2012,3
Tello,Mascherano,2011/2012,3
Tello,Mascherano,2012/2013,5
Tello,Mascherano,2013/2014,3
Tello,Messi,2011/2012,22
Tello,Messi,2012/2013,33
Tello,Messi,2013/2014,12
Tello,Montoya,2011/2012,1
Tello,Montoya,2012/2013,35
Tello,Montoya,2013/2014,4
Tello,Muniesa,2011/2012,1
Tello,Neymar,2013/2014,3
Tello,Pedro,2012/2013,6
Tello,Pedro,2013/2014,3
Tello,Pique,2011/2012,5
Tello,Pique,2012/2013,6
Tello,Pique,2013/2014,4
Tello,Puyol,2011/2012,5
Tello,Puyol,2012/2013,2
Tello,Puyol,2013/2014,1
Tello,Sergi Roberto,2013/2014,1
Tello,Song,2012/2013,16
Tello,Song,2013/2014,1
Tello,Thiago,2011/2012,18
Tello,Thiago,2012/2013,29
Tello,Villa,2012/2013,22
Tello,Xavi,2011/2012,8
Tello,Xavi,2012/2013,54
Tello,Xavi,2013/2014,17
Thiago,Abidal,2010/2011,4
Thiago,Abidal,2011/2012,89
Thiago,Abidal,2012/2013,1
Thiago,Adriano,2010/2011,14
Thiago,Adriano,2011/2012,124
Thiago,Adriano,2012/2013,60
Thiago,Afellay,2010/2011,29
Thiago,Afellay,2011/2012,7
Thiago,Alba,2012/2013,42
Thiago,Alexis,2011/2012,76
Thiago,Alexis,2012/2013,78
Thiago,Bartra,2012/2013,3
Thiago,Bojan,2009/2010,1
Thiago,Bojan,2010/2011,7
Thiago,Busquets,2010/2011,25
Thiago,Busquets,2011/2012,158
Thiago,Busquets,2012/2013,114
Thiago,Cuenca,2011/2012,40
Thiago,Dani Alves,2010/2011,97
Thiago,Dani Alves,2011/2012,180
Thiago,Dani Alves,2012/2013,174
Thiago,Deulofeu,2011/2012,2
Thiago,Fabregas,2011/2012,135
Thiago,Fabregas,2012/2013,99
Thiago,Fontas,2010/2011,7
Thiago,Fontas,2011/2012,4
Thiago,Iniesta,2010/2011,50
Thiago,Iniesta,2011/2012,116
Thiago,Iniesta,2012/2013,68
Thiago,Jeffren,2010/2011,10
Thiago,Jonathan dos Santos,2010/2011,1
Thiago,Jonathan dos Santos,2011/2012,20
Thiago,Kéita,2010/2011,31
Thiago,Kéita,2011/2012,83
Thiago,Mascherano,2010/2011,46
Thiago,Mascherano,2011/2012,104
Thiago,Mascherano,2012/2013,42
Thiago,Maxwell,2010/2011,17
Thiago,Maxwell,2011/2012,33
Thiago,Messi,2009/2010,3
Thiago,Messi,2010/2011,48
Thiago,Messi,2011/2012,288
Thiago,Messi,2012/2013,158
Thiago,Milito,2010/2011,29
Thiago,Montoya,2010/2011,1
Thiago,Montoya,2011/2012,29
Thiago,Montoya,2012/2013,20
Thiago,Nolito,2010/2011,2
Thiago,Pedro,2010/2011,5
Thiago,Pedro,2011/2012,84
Thiago,Pedro,2012/2013,60
Thiago,Pinto,2010/2011,2
Thiago,Pinto,2011/2012,2
Thiago,Pique,2009/2010,2
Thiago,Pique,2010/2011,21
Thiago,Pique,2011/2012,45
Thiago,Pique,2012/2013,71
Thiago,Puyol,2010/2011,4
Thiago,Puyol,2011/2012,57
Thiago,Puyol,2012/2013,20
Thiago,Sergi Roberto,2011/2012,10
Thiago,Song,2012/2013,100
Thiago,Tello,2011/2012,16
Thiago,Tello,2012/2013,35
Thiago,Valdes,2010/2011,1
Thiago,Valdes,2011/2012,11
Thiago,Valdes,2012/2013,4
Thiago,Villa,2010/2011,12
Thiago,Villa,2011/2012,48
Thiago,Villa,2012/2013,22
Thiago,Xavi,2010/2011,38
Thiago,Xavi,2011/2012,207
Thiago,Xavi,2012/2013,104
Thuram,Abidal,2007/2008,18
Thuram,Belletti,2006/2007,18
Thuram,Bojan,2007/2008,7
Thuram,Deco,2006/2007,82
Thuram,Deco,2007/2008,15
Thuram,Edmilson,2006/2007,44
Thuram,Edmilson,2007/2008,16
Thuram,Giovano,2007/2008,15
Thuram,Giuly,2006/2007,11
Thuram,Gudjohnsen,2006/2007,10
Thuram,Gudjohnsen,2007/2008,4
Thuram,Henry,2007/2008,10
Thuram,Iniesta,2006/2007,127
Thuram,Iniesta,2007/2008,40
Thuram,Marquez,2006/2007,54
Thuram,Marquez,2007/2008,12
Thuram,Messi,2006/2007,60
Thuram,Messi,2007/2008,29
Thuram,Milito,2007/2008,21
Thuram,Motta,2006/2007,12
Thuram,Oleguer,2006/2007,38
Thuram,Oleguer,2007/2008,26
Thuram,Pinto,2007/2008,4
Thuram,Puyol,2006/2007,171
Thuram,Puyol,2007/2008,80
Thuram,Ronaldinho,2006/2007,36
Thuram,Ronaldinho,2007/2008,5
Thuram,Samuel Eto''o Fils,2006/2007,32
Thuram,Samuel Eto''o Fils,2007/2008,10
Thuram,Saviola,2006/2007,5
Thuram,Sylvinho,2006/2007,25
Thuram,Sylvinho,2007/2008,1
Thuram,Toure,2007/2008,42
Thuram,Valdes,2006/2007,72
Thuram,Valdes,2007/2008,29
Thuram,Xavi,2006/2007,169
Thuram,Xavi,2007/2008,79
Thuram,Zambrotta,2006/2007,101
Thuram,Zambrotta,2007/2008,59
Thuram,van Bronckhorst,2006/2007,27
Toure,Abidal,2007/2008,81
Toure,Abidal,2008/2009,88
Toure,Abidal,2009/2010,43
Toure,Bojan,2007/2008,21
Toure,Bojan,2008/2009,1
Toure,Bojan,2009/2010,22
Toure,Busquets,2008/2009,15
Toure,Busquets,2009/2010,53
Toure,Caceres,2008/2009,10
Toure,Chygrynskiy,2009/2010,75
Toure,Dani Alves,2008/2009,129
Toure,Dani Alves,2009/2010,141
Toure,Deco,2007/2008,36
Toure,Edmilson,2007/2008,3
Toure,Ezquerro,2007/2008,4
Toure,Giovano,2007/2008,21
Toure,Gudjohnsen,2007/2008,21
Toure,Gudjohnsen,2008/2009,30
Toure,Henry,2007/2008,24
Toure,Henry,2008/2009,37
Toure,Henry,2009/2010,12
Toure,Hleb,2008/2009,12
Toure,Iniesta,2007/2008,106
Toure,Iniesta,2008/2009,66
Toure,Iniesta,2009/2010,43
Toure,Jeffren,2009/2010,15
Toure,Kéita,2008/2009,43
Toure,Kéita,2009/2010,65
Toure,Marquez,2007/2008,49
Toure,Marquez,2008/2009,78
Toure,Marquez,2009/2010,38
Toure,Maxwell,2009/2010,101
Toure,Messi,2007/2008,64
Toure,Messi,2008/2009,79
Toure,Messi,2009/2010,113
Toure,Milito,2007/2008,100
Toure,Milito,2009/2010,37
Toure,Oleguer,2007/2008,30
Toure,Pedro,2009/2010,45
Toure,Pique,2008/2009,66
Toure,Pique,2009/2010,104
Toure,Puyol,2007/2008,61
Toure,Puyol,2008/2009,83
Toure,Puyol,2009/2010,110
Toure,Ronaldinho,2007/2008,27
Toure,Samuel Eto''o Fils,2007/2008,27
Toure,Samuel Eto''o Fils,2008/2009,49
Toure,Sylvinho,2007/2008,27
Toure,Sylvinho,2008/2009,15
Toure,Thuram,2007/2008,34
Toure,Valdes,2007/2008,4
Toure,Valdes,2008/2009,5
Toure,Valdes,2009/2010,21
Toure,Vazquez,2007/2008,2
Toure,Xavi,2007/2008,195
Toure,Xavi,2008/2009,187
Toure,Xavi,2009/2010,146
Toure,Zambrotta,2007/2008,68
Toure,Zlatan Ibrahimović,2009/2010,45
Valdes,Abidal,2007/2008,49
Valdes,Abidal,2008/2009,46
Valdes,Abidal,2009/2010,57
Valdes,Abidal,2010/2011,83
Valdes,Abidal,2011/2012,103
Valdes,Abidal,2012/2013,4
Valdes,Adriano,2010/2011,11
Valdes,Adriano,2011/2012,35
Valdes,Adriano,2012/2013,28
Valdes,Adriano,2013/2014,20
Valdes,Afellay,2010/2011,6
Valdes,Afellay,2011/2012,1
Valdes,Alba,2012/2013,57
Valdes,Alba,2013/2014,15
Valdes,Alexis,2011/2012,26
Valdes,Alexis,2012/2013,45
Valdes,Alexis,2013/2014,47
Valdes,Bartra,2012/2013,2
Valdes,Bartra,2013/2014,38
Valdes,Belletti,2004/2005,7
Valdes,Belletti,2005/2006,11
Valdes,Belletti,2006/2007,4
Valdes,Bojan,2007/2008,14
Valdes,Bojan,2008/2009,3
Valdes,Bojan,2009/2010,6
Valdes,Bojan,2010/2011,4
Valdes,Busquets,2008/2009,30
Valdes,Busquets,2009/2010,58
Valdes,Busquets,2010/2011,68
Valdes,Busquets,2011/2012,70
Valdes,Busquets,2012/2013,36
Valdes,Busquets,2013/2014,45
Valdes,Caceres,2008/2009,32
Valdes,Chygrynskiy,2009/2010,60
Valdes,Cuenca,2011/2012,10
Valdes,Dani Alves,2008/2009,41
Valdes,Dani Alves,2009/2010,67
Valdes,Dani Alves,2010/2011,55
Valdes,Dani Alves,2011/2012,96
Valdes,Dani Alves,2012/2013,37
Valdes,Dani Alves,2013/2014,46
Valdes,Deco,2004/2005,4
Valdes,Deco,2005/2006,9
Valdes,Deco,2006/2007,25
Valdes,Deco,2007/2008,14
Valdes,Deulofeu,2011/2012,1
Valdes,Edmilson,2005/2006,21
Valdes,Edmilson,2006/2007,28
Valdes,Edmilson,2007/2008,6
Valdes,Ezquerro,2005/2006,1
Valdes,Ezquerro,2006/2007,1
Valdes,Ezquerro,2007/2008,2
Valdes,Fabregas,2011/2012,22
Valdes,Fabregas,2012/2013,13
Valdes,Fabregas,2013/2014,21
Valdes,Fontas,2010/2011,10
Valdes,Fontas,2011/2012,10
Valdes,Gabri,2005/2006,2
Valdes,Giovano,2007/2008,12
Valdes,Giuly,2004/2005,2
Valdes,Giuly,2005/2006,1
Valdes,Giuly,2006/2007,7
Valdes,Gudjohnsen,2006/2007,24
Valdes,Gudjohnsen,2007/2008,17
Valdes,Gudjohnsen,2008/2009,9
Valdes,Henry,2007/2008,21
Valdes,Henry,2008/2009,34
Valdes,Henry,2009/2010,17
Valdes,Hleb,2008/2009,4
Valdes,Iniesta,2004/2005,4
Valdes,Iniesta,2005/2006,4
Valdes,Iniesta,2006/2007,31
Valdes,Iniesta,2007/2008,33
Valdes,Iniesta,2008/2009,22
Valdes,Iniesta,2009/2010,22
Valdes,Iniesta,2010/2011,28
Valdes,Iniesta,2011/2012,16
Valdes,Iniesta,2012/2013,12
Valdes,Iniesta,2013/2014,14
Valdes,Jeffren,2009/2010,5
Valdes,Jeffren,2010/2011,2
Valdes,Jonathan dos Santos,2011/2012,2
Valdes,Jonathan dos Santos,2013/2014,1
Valdes,Kéita,2008/2009,38
Valdes,Kéita,2009/2010,43
Valdes,Kéita,2010/2011,22
Valdes,Kéita,2011/2012,40
Valdes,Larsson,2004/2005,6
Valdes,Larsson,2005/2006,31
Valdes,Marquez,2004/2005,23
Valdes,Marquez,2005/2006,77
Valdes,Marquez,2006/2007,58
Valdes,Marquez,2007/2008,60
Valdes,Marquez,2008/2009,119
Valdes,Marquez,2009/2010,75
Valdes,Mascherano,2010/2011,69
Valdes,Mascherano,2011/2012,124
Valdes,Mascherano,2012/2013,47
Valdes,Mascherano,2013/2014,52
Valdes,Maxwell,2009/2010,50
Valdes,Maxwell,2010/2011,33
Valdes,Maxwell,2011/2012,5
Valdes,Messi,2004/2005,1
Valdes,Messi,2005/2006,14
Valdes,Messi,2006/2007,33
Valdes,Messi,2007/2008,24
Valdes,Messi,2008/2009,30
Valdes,Messi,2009/2010,17
Valdes,Messi,2010/2011,21
Valdes,Messi,2011/2012,18
Valdes,Messi,2012/2013,24
Valdes,Messi,2013/2014,13
Valdes,Milito,2007/2008,104
Valdes,Milito,2009/2010,68
Valdes,Milito,2010/2011,26
Valdes,Montoya,2011/2012,9
Valdes,Montoya,2012/2013,15
Valdes,Montoya,2013/2014,21
Valdes,Motta,2005/2006,8
Valdes,Motta,2006/2007,6
Valdes,Navarro,2004/2005,1
Valdes,Neymar,2013/2014,48
Valdes,Oleguer,2004/2005,29
Valdes,Oleguer,2005/2006,32
Valdes,Oleguer,2006/2007,19
Valdes,Oleguer,2007/2008,16
Valdes,Pedro,2008/2009,1
Valdes,Pedro,2009/2010,35
Valdes,Pedro,2010/2011,17
Valdes,Pedro,2011/2012,21
Valdes,Pedro,2012/2013,37
Valdes,Pedro,2013/2014,19
Valdes,Pique,2008/2009,106
Valdes,Pique,2009/2010,203
Valdes,Pique,2010/2011,130
Valdes,Pique,2011/2012,95
Valdes,Pique,2012/2013,100
Valdes,Pique,2013/2014,62
Valdes,Puyol,2004/2005,17
Valdes,Puyol,2005/2006,60
Valdes,Puyol,2006/2007,97
Valdes,Puyol,2007/2008,64
Valdes,Puyol,2008/2009,68
Valdes,Puyol,2009/2010,112
Valdes,Puyol,2010/2011,61
Valdes,Puyol,2011/2012,54
Valdes,Puyol,2012/2013,34
Valdes,Puyol,2013/2014,11
Valdes,Ronaldinho,2004/2005,12
Valdes,Ronaldinho,2005/2006,39
Valdes,Ronaldinho,2006/2007,82
Valdes,Ronaldinho,2007/2008,12
Valdes,Samuel Eto''o Fils,2004/2005,8
Valdes,Samuel Eto''o Fils,2005/2006,39
Valdes,Samuel Eto''o Fils,2006/2007,47
Valdes,Samuel Eto''o Fils,2007/2008,5
Valdes,Samuel Eto''o Fils,2008/2009,37
Valdes,Saviola,2006/2007,6
Valdes,Sergi Roberto,2011/2012,1
Valdes,Sergi Roberto,2013/2014,1
Valdes,Song,2012/2013,13
Valdes,Song,2013/2014,4
Valdes,Sylvinho,2005/2006,15
Valdes,Sylvinho,2006/2007,17
Valdes,Sylvinho,2007/2008,13
Valdes,Sylvinho,2008/2009,10
Valdes,Tello,2011/2012,2
Valdes,Tello,2012/2013,5
Valdes,Tello,2013/2014,6
Valdes,Thiago,2010/2011,13
Valdes,Thiago,2011/2012,41
Valdes,Thiago,2012/2013,13
Valdes,Thuram,2006/2007,88
Valdes,Thuram,2007/2008,30
Valdes,Toure,2007/2008,24
Valdes,Toure,2008/2009,13
Valdes,Toure,2009/2010,38
Valdes,Vazquez,2007/2008,1
Valdes,Villa,2010/2011,22
Valdes,Villa,2011/2012,10
Valdes,Villa,2012/2013,27
Valdes,Xavi,2004/2005,12
Valdes,Xavi,2005/2006,6
Valdes,Xavi,2006/2007,29
Valdes,Xavi,2007/2008,34
Valdes,Xavi,2008/2009,24
Valdes,Xavi,2009/2010,44
Valdes,Xavi,2010/2011,41
Valdes,Xavi,2011/2012,31
Valdes,Xavi,2012/2013,27
Valdes,Xavi,2013/2014,24
Valdes,Zambrotta,2006/2007,32
Valdes,Zambrotta,2007/2008,21
Valdes,Zlatan Ibrahimović,2009/2010,60
Valdes,van Bommel,2005/2006,8
Valdes,van Bronckhorst,2004/2005,5
Valdes,van Bronckhorst,2005/2006,13
Valdes,van Bronckhorst,2006/2007,18
Vazquez,Edmilson,2007/2008,1
Vazquez,Messi,2007/2008,1
Vazquez,Puyol,2007/2008,1
Vazquez,Samuel Eto''o Fils,2007/2008,2
Vermaelen,Adriano,2014/2015,1
Vermaelen,Adriano,2015/2016,10
Vermaelen,Alba,2015/2016,66
Vermaelen,Arda,2015/2016,4
Vermaelen,Bartra,2014/2015,11
Vermaelen,Bartra,2015/2016,9
Vermaelen,Bravo,2015/2016,46
Vermaelen,Busquets,2015/2016,22
Vermaelen,Dani Alves,2015/2016,5
Vermaelen,Iniesta,2015/2016,17
Vermaelen,Ivan Rakitić,2015/2016,4
Vermaelen,Mascherano,2015/2016,69
Vermaelen,Masip,2014/2015,1
Vermaelen,Mathieu,2014/2015,10
Vermaelen,Mathieu,2015/2016,20
Vermaelen,Messi,2014/2015,2
Vermaelen,Munir,2015/2016,1
Vermaelen,Neymar,2014/2015,5
Vermaelen,Neymar,2015/2016,14
Vermaelen,Pedro,2014/2015,1
Vermaelen,Pique,2015/2016,15
Vermaelen,Rafinha,2014/2015,4
Vermaelen,Rafinha,2015/2016,6
Vermaelen,Sergi Roberto,2014/2015,6
Vermaelen,Sergi Roberto,2015/2016,17
Vermaelen,Suarez,2015/2016,7
Vermaelen,Vidal,2015/2016,1
Vermaelen,Xavi,2014/2015,13
Vermaelen,ter Stegen,2015/2016,2
Victor Sanchez,Abidal,2008/2009,4
Victor Sanchez,Bojan,2008/2009,3
Victor Sanchez,Busquets,2008/2009,2
Victor Sanchez,Iniesta,2008/2009,3
Victor Sanchez,Marquez,2008/2009,2
Victor Sanchez,Messi,2008/2009,1
Victor Sanchez,Pique,2008/2009,1
Victor Sanchez,Puyol,2008/2009,1
Victor Sanchez,Samuel Eto''o Fils,2008/2009,2
Victor Sanchez,Xavi,2008/2009,4
Vidal,Adriano,2015/2016,2
Vidal,Alba,2015/2016,6
Vidal,Arda,2015/2016,62
Vidal,Bartra,2015/2016,8
Vidal,Bravo,2015/2016,3
Vidal,Busquets,2015/2016,32
Vidal,Iniesta,2015/2016,14
Vidal,Ivan Rakitić,2015/2016,42
Vidal,Mascherano,2015/2016,16
Vidal,Mathieu,2015/2016,7
Vidal,Messi,2015/2016,81
Vidal,Munir,2015/2016,5
Vidal,Neymar,2015/2016,8
Vidal,Pique,2015/2016,58
Vidal,Samper,2015/2016,2
Vidal,Sergi Roberto,2015/2016,34
Vidal,Suarez,2015/2016,58
Vidal,Vermaelen,2015/2016,2
Villa,Abidal,2010/2011,37
Villa,Abidal,2011/2012,20
Villa,Adriano,2010/2011,17
Villa,Adriano,2011/2012,10
Villa,Adriano,2012/2013,16
Villa,Afellay,2010/2011,4
Villa,Afellay,2011/2012,3
Villa,Alba,2012/2013,89
Villa,Alexis,2011/2012,6
Villa,Alexis,2012/2013,12
Villa,Bojan,2010/2011,13
Villa,Busquets,2010/2011,29
Villa,Busquets,2011/2012,11
Villa,Busquets,2012/2013,10
Villa,Cuenca,2011/2012,3
Villa,Dani Alves,2010/2011,52
Villa,Dani Alves,2011/2012,12
Villa,Dani Alves,2012/2013,16
Villa,Fabregas,2011/2012,25
Villa,Fabregas,2012/2013,23
Villa,Fontas,2010/2011,7
Villa,Fontas,2011/2012,1
Villa,Iniesta,2010/2011,113
Villa,Iniesta,2011/2012,16
Villa,Iniesta,2012/2013,76
Villa,Jeffren,2010/2011,3
Villa,Jonathan dos Santos,2011/2012,1
Villa,Kéita,2010/2011,21
Villa,Kéita,2011/2012,5
Villa,Mascherano,2010/2011,17
Villa,Mascherano,2011/2012,4
Villa,Mascherano,2012/2013,4
Villa,Maxwell,2010/2011,57
Villa,Maxwell,2011/2012,12
Villa,Messi,2010/2011,216
Villa,Messi,2011/2012,48
Villa,Messi,2012/2013,68
Villa,Milito,2010/2011,2
Villa,Montoya,2012/2013,4
Villa,Pedro,2010/2011,57
Villa,Pedro,2011/2012,8
Villa,Pedro,2012/2013,9
Villa,Pique,2010/2011,12
Villa,Pique,2011/2012,2
Villa,Pique,2012/2013,6
Villa,Puyol,2010/2011,5
Villa,Puyol,2011/2012,1
Villa,Puyol,2012/2013,1
Villa,Song,2012/2013,10
Villa,Tello,2012/2013,7
Villa,Thiago,2010/2011,3
Villa,Thiago,2011/2012,34
Villa,Thiago,2012/2013,19
Villa,Valdes,2011/2012,1
Villa,Xavi,2010/2011,84
Villa,Xavi,2011/2012,46
Villa,Xavi,2012/2013,31
Xavi,Abella,2004/2005,10
Xavi,Abidal,2007/2008,100
Xavi,Abidal,2008/2009,78
Xavi,Abidal,2009/2010,49
Xavi,Abidal,2010/2011,83
Xavi,Abidal,2011/2012,93
Xavi,Abidal,2012/2013,2
Xavi,Adriano,2010/2011,49
Xavi,Adriano,2011/2012,97
Xavi,Adriano,2012/2013,115
Xavi,Adriano,2013/2014,89
Xavi,Adriano,2014/2015,84
Xavi,Afellay,2010/2011,76
Xavi,Afellay,2011/2012,9
Xavi,Alba,2012/2013,157
Xavi,Alba,2013/2014,51
Xavi,Alba,2014/2015,84
Xavi,Alexis,2011/2012,128
Xavi,Alexis,2012/2013,99
Xavi,Alexis,2013/2014,184
Xavi,Bartra,2012/2013,1
Xavi,Bartra,2013/2014,58
Xavi,Bartra,2014/2015,44
Xavi,Belletti,2004/2005,49
Xavi,Belletti,2005/2006,13
Xavi,Belletti,2006/2007,26
Xavi,Bojan,2007/2008,60
Xavi,Bojan,2008/2009,33
Xavi,Bojan,2009/2010,53
Xavi,Bojan,2010/2011,37
Xavi,Bravo,2014/2015,4
Xavi,Busquets,2008/2009,179
Xavi,Busquets,2009/2010,259
Xavi,Busquets,2010/2011,300
Xavi,Busquets,2011/2012,310
Xavi,Busquets,2012/2013,266
Xavi,Busquets,2013/2014,258
Xavi,Busquets,2014/2015,148
Xavi,Caceres,2008/2009,27
Xavi,Chygrynskiy,2009/2010,56
Xavi,Cuenca,2011/2012,80
Xavi,Dani Alves,2008/2009,478
Xavi,Dani Alves,2009/2010,411
Xavi,Dani Alves,2010/2011,487
Xavi,Dani Alves,2011/2012,424
Xavi,Dani Alves,2012/2013,249
Xavi,Dani Alves,2013/2014,359
Xavi,Dani Alves,2014/2015,184
Xavi,Deco,2004/2005,74
